Page,Date,Title,Link
https://www.unair.ac.id/unair-news-infografik/page/6/,22/07/2021,Infografik: Wisudawan Berprestasi Periode Juni 2021 UNAIR,https://www.unair.ac.id/infografik-wisudawan-berprestasi-periode-juni-2021-unair/
https://www.unair.ac.id/unair-news-infografik/page/6/,21/07/2021,"Infografik: Prof. Dr. Suryanto, M.Si.",https://www.unair.ac.id/infografik-prof-dr-suryanto-m-si/
https://www.unair.ac.id/unair-news-infografik/page/6/,20/07/2021,Infografik: Wisudawan Terbaik Periode Juni 2021 UNAIR,https://www.unair.ac.id/infografik-wisudawan-terbaik-periode-juni-2021-unair/
https://www.unair.ac.id/unair-news-infografik/page/6/,19/07/2021,Infografik: Alat Deteksi Kebohongan Menangi IICYMS 2021,https://www.unair.ac.id/infografik-alat-deteksi-kebohongan-menangi-iicyms-2021/
https://www.unair.ac.id/unair-news-infografik/page/6/,16/07/2021,Infografik: FK UNAIR Berprestasi di IMEDIST 2021 Malaysia,https://www.unair.ac.id/infografik-prestasi-tim-fk-unair-di-imedist-malaysia/
https://www.unair.ac.id/unair-news-infografik/page/6/,14/07/2021,"Infografik: Prof. Dr. Purnawan Basundoro, S.S., M.Hum.",https://www.unair.ac.id/infografik-prof-dr-purnawan-basundoro-s-s-m-hum/
https://www.unair.ac.id/unair-news-infografik/page/6/,13/07/2021,Infografik: Museum Etnografi FISIP UNAIR,https://www.unair.ac.id/infografik-museum-etnografi-fisip-unair/
https://www.unair.ac.id/unair-news-infografik/page/6/,12/07/2021,Infografik: Khofifah Terpilih Jadi Ketua IKA UA,https://www.unair.ac.id/infografik-khofifah-terpilih-jadi-ketua-ika-ua/
https://www.unair.ac.id/unair-news-infografik/page/6/,06/07/2021,Lomba Fotografi dan Video UNAIR Berhadiah Jutaan Rupiah,https://www.unair.ac.id/lomba-fotografi-dan-video-unair-berhadiah-jutaan-rupiah/
https://www.unair.ac.id/unair-news-infografik/page/6/,14/06/2021,Infografik: Madu Hitam Cepat Sembuhkan Luka,https://www.unair.ac.id/madu-hitam-cepat-sembuhkan-luka/
https://www.unair.ac.id/unair-news-infografik/page/6/,11/06/2021,Infografik: Toga Zingiberaceae Berpotensi Jadi Obat Anti-HIV,https://www.unair.ac.id/toga-zingiberaceae-berpotensi-jadi-obat-anti-hiv/
https://www.unair.ac.id/unair-news-infografik/page/6/,10/06/2021,Infografik: Inovasi Aplikasi Karya BEM Universitas Airlangga,https://www.unair.ac.id/inovasi-aplikasi-karya-bem-universitas-airlangga/
https://www.unair.ac.id/unair-news-infografik/page/6/,09/06/2021,Infografik: Peringkat Dunia UNAIR Melompat ke 465,https://www.unair.ac.id/peringkat-dunia-unair-melompat-ke-465/
